pseudocode,state,district,block,school loc,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
1098281,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Kothigutalapalli,Mekalachinnampalli,KRISHNAGIRI,1,3,1,5,1,635120,2,2,3,0,2,16,0,0,0,2,2,1,2,2,197,1,0,0,0,0,0,0
8758559,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Palayamkotta,Palayamkottai,THALLY,1,3,1,5,1,635107,2,2,3,0,2,16,0,0,0,2,2,1,2,2,204,1,0,0,0,0,0,0
6004703,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,2,Krishnagiri,Krishnagiri (M) - Ward No.32,,,,7,1,6,10,4,635001,2,2,3,0,1,19,16,0,0,2,0,1,9,0,210,1,0,0,0,0,0,0
2968146,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Hosapalli,Hosahalli,SHOOLAGIRI,1,3,1,5,1,635117,2,2,3,0,2,16,0,0,0,2,2,1,2,2,204,1,0,0,0,0,4,5
1180699,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,1,,,Nagamangalam,Nagamangalam,KELAMANGALAM,1,3,1,5,1,635113,2,2,3,0,2,19,0,0,0,2,2,1,2,2,204,1,0,0,0,0,0,0
9247870,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Natrapalayam,Natrampalayam,THALLY,1,3,1,5,1,635102,2,2,3,0,2,16,0,0,0,2,2,1,2,2,188,1,0,0,0,0,0,3
1762476,TAMIL NADU,KRISHNAGIRI,VEPPANAPALLI,1,,,Theertham,Theertham,VEPPANAPALLI,1,3,1,5,1,635121,2,2,3,0,2,16,0,0,0,2,2,1,2,1,210,1,0,0,0,1,1,1
2242344,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Berigai,B.S.Thimmasandiram,SHOOLAGIRI,1,3,1,5,1,635105,2,2,3,0,2,19,0,0,0,2,2,1,2,2,204,1,0,0,0,0,2,2
1548431,TAMIL NADU,KRISHNAGIRI,HOSUR,2,Hosur,Hosur (M) - Ward No.5,,,,1,3,1,5,1,635126,2,2,3,0,2,19,0,0,0,2,2,1,2,2,204,1,1,0,1,2,14,11
8128199,TAMIL NADU,KRISHNAGIRI,VEPPANAPALLI,1,,,Kundarapalli,Samanthamalai,VEPPANAPALLI,1,3,1,5,1,635115,2,2,3,0,2,16,0,0,0,2,2,1,2,1,210,1,0,0,2,2,3,7
9607846,TAMIL NADU,KRISHNAGIRI,BARGUR,1,,,Thogarapalli R.F.,Thogarapalli,BARGUR,1,3,1,5,1,635203,2,2,3,0,2,16,0,0,0,2,2,1,2,2,192,1,0,0,0,1,0,0
9689024,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Ullatti,Ullatti,SHOOLAGIRI,1,3,1,5,1,635117,2,2,3,0,2,16,0,0,0,2,2,1,2,2,194,1,0,0,1,0,2,5
8759307,TAMIL NADU,KRISHNAGIRI,BARGUR,1,,,Guttur,Guttur,BARGUR,1,3,1,5,1,635104,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,0,0,0,0
7645221,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,2,Denkanikottai,Denkanikottai (TP) - Ward No.10,,,,1,3,1,5,4,635107,2,2,3,0,1,16,0,0,0,2,2,1,2,2,205,1,0,0,3,1,23,32
9825338,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Kottaiyur,Kottaiyur,THALLY,1,3,1,5,1,635102,2,2,3,0,2,16,0,0,0,2,2,1,2,2,204,1,0,0,1,0,0,0
6991857,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Barur,Barur,KAVERIPATTINAM,1,3,1,5,1,635201,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,0,1,1,3
4519961,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Chaparthi,Chaparthi,KAVERIPATTINAM,1,3,1,5,1,635106,2,2,3,0,2,19,0,0,0,2,2,1,2,1,210,1,0,0,0,3,0,0
7010299,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,1,,,Pillari Agraharam,Pillariagraharam,KELAMANGALAM,1,3,1,5,1,635116,2,2,3,0,2,16,0,0,0,2,2,1,2,1,204,1,0,0,0,0,13,8
2678135,TAMIL NADU,KRISHNAGIRI,UTHANGARAI,1,,,Kuppanatham,Nadupatti,UTHANGARAI,1,3,1,5,1,635307,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,0,0,0,0
5817417,TAMIL NADU,KRISHNAGIRI,SHOOLAGIRI,1,,,Chennapalli,Chennapalli,SHOOLAGIRI,1,3,1,5,1,635117,2,2,3,0,2,16,0,0,0,2,2,1,2,2,204,1,0,0,0,0,2,3
1245303,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Kaveripattinam,Santhapuram,KAVERIPATTINAM,3,3,1,12,5,635112,2,2,3,0,2,19,0,0,0,1,1,1,1,2,236,1,16,15,6,8,0,0
5221476,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,1,,,Bithireddi,Bithireddy,KELAMANGALAM,1,3,1,5,5,635107,2,2,3,0,2,19,0,0,0,2,2,1,1,2,210,1,35,28,3,0,7,2
2366615,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Arasakuppam,Arasakuppam,THALLY,1,3,1,5,4,635107,2,2,3,0,1,16,0,0,0,2,2,1,2,2,210,1,6,9,0,1,0,0
3080682,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Kottapatti,Kottapatti,KAVERIPATTINAM,1,3,1,5,1,635201,2,2,3,0,2,16,0,0,0,2,2,1,2,1,204,1,0,0,2,2,0,0
3583322,TAMIL NADU,KRISHNAGIRI,HOSUR,1,,,Mallasandiram,Alasapalli Batvarapalli,HOSUR,3,3,1,12,5,635105,2,2,3,0,2,19,0,0,0,2,2,1,1,2,210,1,10,15,1,3,0,0
2656279,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Talihalli,Thalihalli,KAVERIPATTINAM,1,3,1,5,1,635112,2,2,3,0,2,16,0,0,0,2,2,1,2,2,194,1,0,0,2,0,0,0
5059710,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,1,,,Panneswaramadam,Penneswaramadam,KAVERIPATTINAM,1,3,1,5,1,635112,2,2,3,0,2,19,0,0,0,2,2,1,2,2,207,1,0,0,1,0,0,1
6556102,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Bellarapalli,Pachiganapalli,KRISHNAGIRI,1,3,1,5,1,635122,2,2,3,0,2,16,0,0,0,2,2,1,2,1,210,1,0,0,0,0,6,4
9877004,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,1,,,Ulimangalam,Kottaiulimangalam,KELAMANGALAM,5,3,6,12,4,635107,2,2,3,0,1,16,19,0,0,2,2,1,9,0,210,1,0,0,0,0,0,0
